  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     0.974
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
     15.90     1.80160066   -0.00162110
     16.00     1.79733730   -0.00160369
     16.10     1.79303117   -0.00158617
     16.20     1.78831333   -0.00156765
     16.30     1.78359632   -0.00154913
     16.40     1.77889009   -0.00153063
     16.50     1.77423840   -0.00151218
     16.60     1.76960279   -0.00149380
     16.70     1.76508768   -0.00147578
     16.80     1.76104359   -0.00145880
     16.90     1.75693245   -0.00144134
     17.00     1.75283178   -0.00142392
     17.10     1.74877748   -0.00140657
     17.20     1.74473003   -0.00138916
     17.30     1.74066331   -0.00137160
     17.40     1.73657385   -0.00135389
     17.50     1.73151185   -0.00133112
     17.60     1.72644092   -0.00130830
     17.70     1.72135847   -0.00128543
     17.80     1.71628029   -0.00126255
     17.90     1.71132439   -0.00123991
     18.00     1.70682685   -0.00121935
     18.10     1.70244900   -0.00119960
     18.20     1.69821240   -0.00118018
     18.30     1.69444398   -0.00116262
     18.40     1.69103204   -0.00114721
     18.50     1.68767092   -0.00113202
     18.60     1.68431531   -0.00111684
     18.70     1.68104680   -0.00110210
     18.80     1.67787041   -0.00108763
     18.90     1.67470138   -0.00107316
     19.00     1.67153490   -0.00105870
     19.10     1.66833248   -0.00104389
     19.20     1.66473128   -0.00102722
     19.30     1.66079669   -0.00100953
     19.40     1.65692403   -0.00099200
     19.50     1.65295574   -0.00097413
     19.60     1.64889105   -0.00095580
     19.70     1.64482614   -0.00093745
     19.80     1.64076429   -0.00091909
     19.90     1.63670441   -0.00090071
     20.00     1.63314689   -0.00088364
     20.10     1.62965673   -0.00086668
     20.20     1.62620664   -0.00084981
     20.30     1.62283121   -0.00083309
     20.40     1.61939818   -0.00081606
     20.50     1.61590744   -0.00079870
     20.60     1.61240696   -0.00078117
     20.70     1.60844339   -0.00076030
     20.80     1.60445881   -0.00073927
     20.90     1.60037564   -0.00071767
     21.00     1.59637115   -0.00069645
     21.10     1.59247680   -0.00067595
