  temptable_boundary bulk_cool
! HEADER: 
!  This is the initial fuel temperature table 
!  The goal of this table is to provide fuel temperatures as a function of power 
!  an burnup as follows: 
!    Tfuel = Tmod + a * P  + b * P^2  where a and b are functions of burnup and P is the linear heat flux 
! 
!  The structure of this file is very basic.  A header will give the number of burnup points and the linear 
!  heat rate used to generate the file.  (this is so the data can be fit using normalized powers, if actual 
!  linear heat rates are used in the computation of a and b, enter 1.0 for the LHR. 
!  The header is followed by a list of a and b for each burnup point (in GWD/MT) 
! 
!                    LHR (W/cm) 
  temptable_qprime     1.000
!  list of temperature coefficients 
!  Bu (GWD/MT)    a (K)        b (K)
  temptable_polynomial
      0.00     2.12419575   -0.00098752
      0.10     2.11201998   -0.00099357
      0.20     2.10728100   -0.00099812
      0.30     2.10461073   -0.00100136
      0.40     2.10210437   -0.00099946
      0.50     2.10042782   -0.00099945
      0.60     2.09948780   -0.00100127
      0.70     2.09866596   -0.00100244
      0.80     2.09797036   -0.00100371
      0.90     2.09753721   -0.00100588
      1.00     2.09720735   -0.00100843
      1.10     2.09704717   -0.00101172
      1.20     2.09695243   -0.00101533
      1.30     2.09690283   -0.00101922
      1.40     2.09691514   -0.00102344
      1.50     2.09706920   -0.00102859
      1.60     2.09724484   -0.00103387
      1.70     2.09733254   -0.00103897
      1.80     2.09743671   -0.00104427
      1.90     2.09768372   -0.00105032
      2.00     2.09797352   -0.00105670
      2.10     2.09823229   -0.00106303
      2.20     2.09852914   -0.00106960
      2.30     2.09884652   -0.00107644
      2.40     2.09914824   -0.00108332
      2.50     2.09942817   -0.00109013
      2.60     2.09971901   -0.00109710
      2.70     2.10002648   -0.00110427
      2.80     2.10029395   -0.00111132
      2.90     2.10054418   -0.00111831
      3.00     2.10079947   -0.00112545
      3.10     2.10104071   -0.00113257
      3.20     2.10125506   -0.00113961
      3.30     2.10144572   -0.00114659
      3.40     2.10161644   -0.00115353
      3.50     2.10177142   -0.00116042
      3.60     2.10189159   -0.00116720
      3.70     2.10200947   -0.00117401
      3.80     2.10210507   -0.00118076
      3.90     2.10218313   -0.00118745
      4.00     2.10224562   -0.00119410
      4.10     2.10228344   -0.00120067
      4.20     2.10230699   -0.00120719
      4.30     2.10231050   -0.00121364
      4.40     2.10229863   -0.00122005
      4.50     2.10226566   -0.00122637
      4.60     2.10221062   -0.00123261
      4.70     2.10214186   -0.00123880
      4.80     2.10205792   -0.00124494
      4.90     2.10194687   -0.00125095
      5.00     2.10182416   -0.00125692
      5.10     2.10168063   -0.00126282
      5.20     2.10152922   -0.00126868
      5.30     2.10134655   -0.00127440
      5.40     2.10115373   -0.00128008
      5.50     2.10094803   -0.00128571
      5.60     2.10072509   -0.00129127
      5.70     2.10047992   -0.00129672
      5.80     2.10022329   -0.00130212
      5.90     2.09995626   -0.00130749
      6.00     2.09967095   -0.00131276
      6.10     2.09936452   -0.00131794
      6.20     2.09905116   -0.00132309
      6.30     2.09872779   -0.00132820
      6.40     2.09838134   -0.00133319
      6.50     2.09802261   -0.00133812
      6.60     2.09765422   -0.00134302
      6.70     2.09727920   -0.00134788
      6.80     2.09687818   -0.00135262
      6.90     2.09646969   -0.00135732
      7.00     2.09605251   -0.00136198
      7.10     2.09562649   -0.00136660
      7.20     2.09517780   -0.00137110
      7.30     2.09472267   -0.00137557
      7.40     2.09426003   -0.00138001
      7.50     2.09376579   -0.00138428
      7.60     2.09320958   -0.00138820
      7.70     2.09264868   -0.00139210
      7.80     2.09208033   -0.00139597
      7.90     2.09148087   -0.00139966
      8.00     2.09085139   -0.00140319
      8.10     2.09021581   -0.00140669
      8.20     2.08957639   -0.00141017
      8.30     2.08892601   -0.00141360
      8.40     2.08826817   -0.00141699
      8.50     2.08760533   -0.00142035
      8.60     2.08693987   -0.00142370
      8.70     2.08626047   -0.00142698
      8.80     2.08557540   -0.00143023
      8.90     2.08488764   -0.00143346
      9.00     2.08419489   -0.00143667
      9.10     2.08348861   -0.00143981
      9.20     2.08278007   -0.00144293
      9.30     2.08206780   -0.00144603
      9.40     2.08134948   -0.00144910
      9.50     2.08062053   -0.00145212
      9.60     2.07988952   -0.00145512
      9.70     2.07915588   -0.00145811
      9.80     2.07841296   -0.00146104
      9.90     2.07766367   -0.00146394
     10.00     2.07691196   -0.00146683
     10.10     2.07615742   -0.00146970
     10.20     2.07539204   -0.00147251
     10.30     2.07462192   -0.00147529
     10.40     2.07384999   -0.00147806
     10.50     2.07307479   -0.00148082
     10.60     2.07228661   -0.00148350
     10.70     2.07149586   -0.00148616
     10.80     2.07070147   -0.00148880
     10.90     2.06986491   -0.00149120
     11.00     2.06877575   -0.00149217
     11.10     2.06768417   -0.00149312
     11.20     2.06659133   -0.00149405
     11.30     2.06544144   -0.00149457
     11.40     2.06410771   -0.00149400
     11.50     2.06277113   -0.00149341
     11.60     2.06140992   -0.00149272
     11.70     2.06001032   -0.00149191
     11.80     2.05861521   -0.00149111
     11.90     2.05721934   -0.00149031
     12.00     2.05582176   -0.00148951
     12.10     2.05444214   -0.00148880
     12.20     2.05306745   -0.00148812
     12.30     2.05169177   -0.00148743
     12.40     2.05031622   -0.00148674
     12.50     2.04896159   -0.00148616
     12.60     2.04760711   -0.00148559
     12.70     2.04625323   -0.00148501
     12.80     2.04490034   -0.00148444
     12.90     2.04356525   -0.00148396
     13.00     2.04223076   -0.00148349
     13.10     2.04089557   -0.00148301
     13.20     2.03956903   -0.00148256
     13.30     2.03825771   -0.00148220
     13.40     2.03694597   -0.00148184
     13.50     2.03563258   -0.00148147
     13.60     2.03433214   -0.00148116
     13.70     2.03304182   -0.00148091
     13.80     2.03174990   -0.00148065
     13.90     2.03045826   -0.00148038
     14.00     2.02918319   -0.00148021
     14.10     2.02791223   -0.00148006
     14.20     2.02664122   -0.00147989
     14.30     2.02537029   -0.00147973
     14.40     2.02412015   -0.00147967
     14.50     2.02286991   -0.00147961
     14.60     2.02161948   -0.00147955
     14.70     2.02037333   -0.00147950
     14.80     2.01914413   -0.00147955
     14.90     2.01791427   -0.00147959
     15.00     2.01668510   -0.00147963
     15.10     2.01546309   -0.00147971
     15.20     2.01425306   -0.00147985
     15.30     2.01304328   -0.00147999
     15.40     2.01183496   -0.00148014
     15.50     2.01063555   -0.00148032
     15.60     2.00944425   -0.00148055
     15.70     2.00825437   -0.00148078
     15.80     2.00706370   -0.00148100
     15.90     2.00588489   -0.00148129
     16.00     2.00471119   -0.00148159
     16.10     2.00353687   -0.00148189
     16.20     2.00234699   -0.00148202
     16.30     2.00117569   -0.00148226
     16.40     2.00000477   -0.00148251
     16.50     1.99883480   -0.00148275
     16.60     1.99766719   -0.00148300
     16.70     1.99651067   -0.00148331
     16.80     1.99535489   -0.00148362
     16.90     1.99422287   -0.00148402
     17.00     1.99312750   -0.00148457
     17.10     1.99205104   -0.00148521
     17.20     1.99093548   -0.00148569
     17.30     1.98980419   -0.00148611
     17.40     1.98868016   -0.00148656
     17.50     1.98756256   -0.00148704
     17.60     1.98644506   -0.00148752
     17.70     1.98533178   -0.00148801
     17.80     1.98420828   -0.00148843
     17.90     1.98308223   -0.00148883
     18.00     1.98195833   -0.00148923
     18.10     1.98083483   -0.00148963
     18.20     1.97761611   -0.00147811
     18.30     1.97438440   -0.00146651
     18.40     1.97115339   -0.00145491
     18.50     1.96785938   -0.00144293
     18.60     1.96429968   -0.00142942
     18.70     1.96074105   -0.00141591
     18.80     1.95718314   -0.00140240
     18.90     1.95363466   -0.00138894
     19.00     1.95010471   -0.00137556
     19.10     1.94657664   -0.00136220
     19.20     1.94305163   -0.00134882
     19.30     1.93953414   -0.00133548
     19.40     1.93602504   -0.00132218
     19.50     1.93251998   -0.00130889
     19.60     1.92901505   -0.00129560
     19.70     1.92552616   -0.00128240
     19.80     1.92204267   -0.00126922
     19.90     1.91855741   -0.00125601
     20.00     1.91508117   -0.00124284
     20.10     1.91158585   -0.00122953
     20.20     1.90808830   -0.00121619
     20.30     1.90459078   -0.00120285
     20.40     1.90109649   -0.00118951
     20.50     1.89760406   -0.00117615
     20.60     1.89409778   -0.00116266
     20.70     1.89060243   -0.00114919
     20.80     1.88711227   -0.00113574
     20.90     1.88319220   -0.00111844
     21.00     1.87919781   -0.00110046
     21.10     1.87520423   -0.00108249
     21.20     1.87121036   -0.00106450
     21.30     1.86723290   -0.00104655
     21.40     1.86325881   -0.00102861
     21.50     1.85929141   -0.00101069
     21.60     1.85533199   -0.00099282
     21.70     1.85137660   -0.00097495
     21.80     1.84743707   -0.00095713
     21.90     1.84351031   -0.00093936
     22.00     1.83958993   -0.00092160
     22.10     1.83567481   -0.00090384
     22.20     1.83175468   -0.00088607
     22.30     1.82783660   -0.00086830
     22.40     1.82391601   -0.00085051
     22.50     1.81999656   -0.00083272
     22.60     1.81608052   -0.00081496
     22.70     1.81216413   -0.00079719
     22.80     1.80824826   -0.00077943
     22.90     1.80433212   -0.00076166
     23.00     1.80041737   -0.00074389
     23.10     1.79650263   -0.00072611
     23.20     1.79258813   -0.00070834
     23.30     1.78867683   -0.00069058
     23.40     1.78476661   -0.00067282
     23.50     1.78085471   -0.00065506
     23.60     1.77694535   -0.00063729
     23.70     1.77303753   -0.00061953
     23.80     1.76913057   -0.00060177
     23.90     1.76520709   -0.00058390
     24.00     1.76128577   -0.00056604
     24.10     1.75736585   -0.00054817
     24.20     1.75372887   -0.00053051
     24.30     1.75015206   -0.00051283
     24.40     1.74657584   -0.00049515
     24.50     1.74311391   -0.00047757
     24.60     1.73967292   -0.00046000
     24.70     1.73623058   -0.00044242
     24.80     1.73278629   -0.00042484
     24.90     1.72934310   -0.00040726
     25.00     1.72590251   -0.00038971
     25.10     1.72246191   -0.00037215
     25.20     1.71902203   -0.00035461
     25.30     1.71554646   -0.00033673
     25.40     1.71206692   -0.00031882
     25.50     1.70858765   -0.00030091
     25.60     1.70507913   -0.00028273
     25.70     1.70155017   -0.00026435
     25.80     1.69803104   -0.00024603
     25.90     1.69451285   -0.00022771
     26.00     1.69099437   -0.00020938
     26.10     1.68747807   -0.00019106
     26.20     1.68396467   -0.00017276
     26.30     1.68044875   -0.00015445
     26.40     1.67693469   -0.00013614
     26.50     1.67321464   -0.00011665
     26.60     1.66923370   -0.00009564
     26.70     1.66525150   -0.00007462
     26.80     1.66127350   -0.00005360
     26.90     1.65717213   -0.00003187
     27.00     1.65299553   -0.00000970
     27.10     1.64882446    0.00001245
     27.20     1.64465014    0.00003460
     27.30     1.64066076    0.00005624
     27.40     1.63693956    0.00007709
     27.50     1.63321739    0.00009793
     27.60     1.62993972    0.00011744
     27.70     1.62671548    0.00013678
     27.80     1.62349481    0.00015610
     27.90     1.62028114    0.00017541
     28.00     1.61706801    0.00019471
     28.10     1.61384352    0.00021405
     28.20     1.61061715    0.00023340
     28.30     1.60739173    0.00025274
     28.40     1.60416253    0.00027210
     28.50     1.60092959    0.00029148
     28.60     1.59769917    0.00031086
     28.70     1.59447049    0.00033023
     28.80     1.59124007    0.00034961
     28.90     1.58800975    0.00036900
     29.00     1.58478215    0.00038836
     29.10     1.58155635    0.00040771
     29.20     1.57833695    0.00042703
     29.30     1.57512182    0.00044632
     29.40     1.57191003    0.00046560
     29.50     1.56869752    0.00048488
     29.60     1.56548641    0.00050414
     29.70     1.56227722    0.00052341
     29.80     1.55908183    0.00054263
     29.90     1.55588875    0.00056185
     30.00     1.55270256    0.00058103
     30.10     1.54952336    0.00060019
     30.20     1.54663414    0.00061833
     30.30     1.54374340    0.00063649
     30.40     1.54157772    0.00065212
     30.50     1.53949130    0.00066748
     30.60     1.53741017    0.00068282
     30.70     1.53532931    0.00069817
     30.80     1.53324898    0.00071352
     30.90     1.53116864    0.00072887
     31.00     1.52908215    0.00074424
     31.10     1.61173675    0.00027730
     31.20     1.60965566    0.00029262
     31.30     1.60757672    0.00030793
     31.40     1.60549205    0.00032324
     31.50     1.60340924    0.00033855
     31.60     1.60132666    0.00035385
     31.70     1.59924224    0.00036916
     31.80     1.59716202    0.00038445
     31.90     1.59508397    0.00039972
     32.00     1.59300902    0.00041497
     32.10     1.59093053    0.00043022
     32.20     1.58885390    0.00044547
     32.30     1.58678698    0.00046067
     32.40     1.58471983    0.00047589
     32.50     1.58265900    0.00049107
     32.60     1.58060258    0.00050623
     32.70     1.57856521    0.00052129
     32.80     1.57659822    0.00053605
     32.90     1.57511406    0.00054884
     33.00     1.57426092    0.00055902
     33.10     1.57345798    0.00056888
     33.20     1.57264951    0.00057881
     33.30     1.57184396    0.00058873
     33.40     1.57099812    0.00059889
     33.50     1.57014889    0.00060908
     33.60     1.56929424    0.00061928
     33.70     1.56843977    0.00062948
     33.80     1.56759923    0.00063962
     33.90     1.56676278    0.00064974
     34.00     1.56593161    0.00065983
     34.10     1.56510920    0.00066986
     34.20     1.56428649    0.00067988
     34.30     1.56346514    0.00068989
     34.40     1.56263719    0.00069995
     34.50     1.56180947    0.00071000
     34.60     1.56099039    0.00072002
     34.70     1.56018062    0.00072999
     34.80     1.55937790    0.00073992
     34.90     1.55857484    0.00074987
     35.00     1.55776896    0.00075982
     35.10     1.55749613    0.00076748
     35.20     1.55748445    0.00077402
     35.30     1.55757856    0.00078010
     35.40     1.55768342    0.00078614
     35.50     1.55779760    0.00079216
     35.60     1.55791186    0.00079817
     35.70     1.55802316    0.00080421
     35.80     1.55812649    0.00081029
     35.90     1.55823231    0.00081635
     36.00     1.55833905    0.00082242
     36.10     1.55844948    0.00082847
     36.20     1.55856434    0.00083449
     36.30     1.55868146    0.00084050
     36.40     1.55880512    0.00084647
     36.50     1.55893211    0.00085243
     36.60     1.55935774    0.00085707
     36.70     1.56000492    0.00086074
     36.80     1.56064891    0.00086442
     36.90     1.56129671    0.00086808
     37.00     1.56195035    0.00087170
     37.10     1.56260365    0.00087533
     37.20     1.56325463    0.00087897
     37.30     1.56389734    0.00088263
